,Importance
MSRP,0.4906815985759062
QUANTITYORDERED,0.3480610432279768
ORDER_MONTH,0.03919407224811028
ORDER_YEAR,0.02690341276675782
ORDER_DAYOFWEEK,0.02178766680455131
COUNTRY_France,0.008789933289404625
COUNTRY_Spain,0.007222469927256365
ORDER_QUARTER,0.0064073441811037316
TERRITORY_EMEA,0.0049004974395561365
COUNTRY_USA,0.004019317287846025
PRODUCTLINE_Trucks and Buses,0.003987164447243248
PRODUCTLINE_Vintage Cars,0.003911657971580502
PRODUCTLINE_Motorcycles,0.0037755028892750343
TERRITORY_NA,0.003608626429031137
COUNTRY_UK,0.0034573031522184355
PRODUCTLINE_Planes,0.0027765905673526703
COUNTRY_Austria,0.0027278026455981475
PRODUCTLINE_Trains,0.0027062757460148863
COUNTRY_Norway,0.002579431469897094
COUNTRY_Finland,0.0023976125134349967
COUNTRY_Japan,0.0021939691583556993
COUNTRY_Sweden,0.001881431613345024
PRODUCTLINE_Ships,0.0014231884921060908
TERRITORY_Japan,0.0009248401604709251
COUNTRY_Italy,0.0008262883529901367
COUNTRY_Denmark,0.0008150461390966387
COUNTRY_Germany,0.0005068074300176016
COUNTRY_Singapore,0.0004483805094827752
COUNTRY_Canada,0.00039174236282080074
COUNTRY_Belgium,0.00025129456906037824
COUNTRY_Switzerland,0.00020913422798462443
COUNTRY_Philippines,0.00012850459879336948
COUNTRY_Ireland,0.0001040488053604842
